Title,Genre,Runtime,IMDB Score,Language
The Irishman,Crime drama,209,7.8,English
The Trial of the Chicago 7,Drama,130,7.8,English
A Secret Love,Documentary,82,7.9,English
Icarus,Documentary,120,7.9,English
Marriage Story,Drama,136,7.9,English
The Ivory Game,Documentary,112,7.9,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,105,8,English
Chasing Coral ,Documentary,89,8.1,English
My Octopus Teacher,Documentary,85,8.1,English
Rising Phoenix,Documentary,106,8.1,English
13th,Documentary,100,8.2,English
Disclosure: Trans Lives on Screen,Documentary,107,8.2,English
Klaus,Animation/Christmas/Comedy/Adventure,97,8.2,English
Seaspiracy,Documentary,89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,109,8.2,Spanish
Cuba and the Cameraman ,Documentary,114,8.3,English
Dancing with the Birds,Documentary,51,8.3,English
Ben Platt: Live from Radio City Music Hall,Concert Film,85,8.4,English
Taylor Swift: Reputation Stadium Tour,Concert Film,125,8.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,91,8.4,English/Ukranian/Russian
Springsteen on Broadway,One-man show,153,8.5,English
Emicida: AmarElo - It's All For Yesterday,Documentary,89,8.6,Portuguese
David Attenborough: A Life on Our Planet,Documentary,83,9,English
